#;RefDes;Value;Quantity;Name;Unique Name
1;C1, C2, C4, C7, C10, C13, C14, C17, C18, C20;100n;10;CAP_0805;CAP_0805
2;C3, C5, C6, C8, C9;2.2n;5;CAP_0805;CAP_0805
3;C11, C12;10n;2;CAP_0805;CAP_0805
4;C15;0.1u;1;X2;CAP_X2_15mm
5;C16;100u;1;CAP_THT_2.0;CAP_THT_2.0
6;C19, C21;10u;2;CAPP_B_350X280;CAPP_B
7;D1;Blue;1;LED_0805_M_Blue;LED_0805_BLUE
8;D2;Yellow;1;LED_0805_M_Yellow;LED_0805_Yellow
9;F1;LVR012K;1;PolySwitch_L2;
10;GND, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8;;9;TestPoint_S_THT;
11;J1;I_1;1;CON_JACK_PJ_358;PJ-358
12;J2;I_2;1;CON_JACK_PJ_358;PJ-358
13;J3;I_3;1;CON_JACK_PJ_358;PJ-358
14;J4;I_4;1;CON_JACK_PJ_358;PJ-358
15;J5, J10, J11, J12, J13;;5;TB_5.0_x2;
16;J6, J7, J8, J9;;4;TB_5.0_x3;
17;J14;;1;IDCV_THT_254_2X10;
18;J15;;1;HDRV_254_THT_1x2;TE_5-146253-5
19;J16;;1;HDRV_254_THT_1x3;TE_5-146253-5
20;J17;;1;HDRV_254_THT_2x5_C;TE_5-146253-5
21;L1;2x10mH;1;CM_CHOKE;
22;M1;MOD_G071;1;MOD_G071;
23;M2;OLED-1.3_SPI;1;OLED-1.3_SPI;
24;M3;HLK-PM01;1;HLK-PMxx;
25;M4;WIZ850io;1;WIZ850io;
26;M5;ESP-01S;1;ESP-01S;
27;M6;Wemos_D1_Mini;1;Wemos_D1_Mini;
28;Q1, Q2, Q3;IRLML6244;3;IRLML6244_N;AO3400
29;R1;10;1;RES_0805;RES_0805
30;R2, R12, R17, R22;NC;4;RES_THT_10.16;RES_THT_10.16
31;R3, R13, R18, R23;5k;4;3296W;
32;R4, R14, R19, R24, R27, R33;3.3k;6;RES_0805;RES_0805
33;R5, R10, R15, R20, R25;5.1k;5;RES_0805;RES_0805
34;R6, R11, R16, R21, R26, R42, R44;1k;7;RES_0805;RES_0805
35;R7;150;1;RES_0805;RES_0805
36;R8, R52;470;2;RES_0805;RES_0805
37;R9;2.2k;1;RES_0805;RES_0805
38;R28, R34, R40, R41, R49;10k;5;RES_0805;RES_0805
39;R29, R35, R43, R45;47k;4;RES_0805;RES_0805
40;R30, R36;33k;2;RES_0805;RES_0805
41;R31, R37;220k;2;RES_0805;RES_0805
42;R32, R38, R39, R50, R51;4.7k;5;RES_0805;RES_0805
43;R46, R47;39k;2;RES_2010;RES_2010
44;R48;100;1;RES_0805;RES_0805
45;R53, R54;0;2;RES_THT_10.16;RES_THT_10.16
46;RLY1;G6DN;1;RLY_G6DN;
47;S1, S2;;2;Button_1_THT;
48;T1;;1;DL-PT202D;
49;U1, U2, U3;TSZ122;3;TSZ122;OPAx2
50;U4;LM393;1;LM393_DIP;LM393_DIP_PART
51;U5;LT1117-3.3;1;LT1117;
52;U6;W25Q64;1;W25Q64;
53;U7;SFH620A;1;SFH620A;SFH620A
54;U8;TL431;1;TL431BCDBZ;TL431BCDBZ
