#;RefDes;Value;Quantity;Name;Unique Name
1;C1;100n;1;CAP_0805;CAP_0805
2;D1, D5;BAT54S;2;BAT54;
3;D2, D3, D4;;3;LED_0805_M_Green;LED_0805_GREEN
4;GND, T0, T1, T2;;4;TestPoint_S_THT;
5;J1, J2;;2;XHV_250_THT_1x3;
6;J3;;1;XHV_250_THT_1x2;
7;J4;;1;HDRV_254_THT_1x3;HDRV_254_THT_1x3
8;J14;;1;IDCV_THT_254_2X10;
9;Q1;AO3401;1;AO3401_P;AO3401
10;Q2, Q3;IRLML6244;2;IRLML6244_N;AO3400
11;R1, R2;100;2;RES_THT_12.7;RES_THT_12.7
12;R3;1.5k;1;RES_THT_12.7;RES_THT_12.7
13;R4, R9, R10;680;3;RES_0805;RES_0805
14;R5, R7;1k;2;RES_0805;RES_0805
15;R6, R11, R12;47k;3;RES_0805;RES_0805
16;R8;10k;1;RES_0805;RES_0805
17;U1;74LVC1G17;1;74LVC1G17DBV;
